addr1;addr3;distance
Мордовия с.Сабур-Мачкасы, ул.Советская, 52;Мордовия, пгт. Чамзинка, ул. Победы, 2;12.0
Мордовия с.Большие Ремезенки, ул.Молодежная, 1в;Мордовия, пгт. Чамзинка, ул. Победы, 2;22.0
Мордовия с.Апраксино, ул.Центральная, 7;Мордовия, пгт. Чамзинка, ул. Победы, 2;14.0
Мордовия с.Мичурино, ул.Советская, 4;Мордовия, пгт. Чамзинка, ул. Победы, 2;20.0
Мордовия с.Кабаево, ул.Московская, 98;Мордовия, пгт. Чамзинка, ул. Победы, 2;57.0
Мордовия с.Поводимово, ул.Советская, 1а;Мордовия, пгт. Чамзинка, ул. Победы, 2;42.0
Мордовия с.Ардатово, ул.Колхозная, 2;Мордовия, пгт. Чамзинка, ул. Победы, 2;41.0
Мордовия с.Первомайск, ул.Жигули, 10;Мордовия, г. Саранск, ул. Советская, 109;31.0
Мордовия с.Александровка, ул.Долганова, 1;Мордовия, г. Саранск, ул. Советская, 109;14.0
Мордовия п.Сосновка, ул.Почтовая, 5;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;27.0
Мордовия п.Леплей, ул.Советская, 5;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;33.0
Мордовия п.Дубитель, ул.Центральная, 10;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;25.0
Мордовия с.Ширингуши, ул.Первомайская, 5;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;28.0
Мордовия с.Мордовская Поляна, ул.Международная, 111б;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;16.0
Мордовия с.Выша, ул.Коммунарная, 40;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;58.0
Мордовия с.Старое Бадиково, ул.Центральная, 1;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;34.0
Мордовия р.п.Потьма, ул.Школьная, 12;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;8.0
Мордовия п.Умет, ул.Почтовая, 1;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;12.0
Мордовия п.Ударный, ул.Центральная, 4а;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;36.0
Мордовия с.Мордовский Пимбур, ул.Центральная, 4;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;39.0
Мордовия с.Тарханская-Потьма, ул.Ленина, 113;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;22.0
Мордовия с.Такушево, ул.Новая, 4;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;95.0
Мордовия с.Теньгушево, ул. Ленина , 68;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;95.0
